Tarih,Toplam Maliyet ($),Tespit Eden Modeller,Birincil Şüpheli Servis,Güven Derecesi,Kök Neden Açıklaması,Maliyet Sıçramaları Detayları
2026-05-18,$354.48,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $34.63 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%57.6 (+$34.63) | AmazonEC2: +%41.6 (+$24.99) | AmazonRDS: +%0.8 (+$0.50)
2026-05-09,$304.32,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $33.30 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%83.5 (+$33.30) | AWSDataTransfer: +%16.5 (+$6.59)
2026-05-07,$352.95,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $33.75 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%56.7 (+$33.75) | AmazonEC2: +%38.1 (+$22.68) | AWSDataTransfer: +%2.7 (+$1.59) | AmazonRDS: +%2.5 (+$1.49)
2026-05-01,$346.86,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $31.38 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%52.7 (+$31.38) | AmazonEC2: +%47.3 (+$28.20)
2026-04-27,$558.49,"STL, Isolation Forest, Z-Score",AmazonDynamoDB,Yüksek,DynamoDB (NoSQL Veritabanı) maliyet anomalisi (Normalin $219.83 üzerinde). Yük testleri sırasında provizyon edilen okuma/yazma kapasite limitlerinin (RCU/WCU) yüksek unutulmuş olması muhtemel.,AmazonDynamoDB: +%82.1 (+$219.83) | AmazonS3: +%12.0 (+$32.09) | AmazonEC2: +%5.7 (+$15.19) | AmazonRDS: +%0.3 (+$0.73)
2026-04-26,$502.23,"STL, Isolation Forest, Z-Score",AmazonDynamoDB,Yüksek,DynamoDB (NoSQL Veritabanı) maliyet anomalisi (Normalin $218.66 üzerinde). Yük testleri sırasında provizyon edilen okuma/yazma kapasite limitlerinin (RCU/WCU) yüksek unutulmuş olması muhtemel.,AmazonDynamoDB: +%87.7 (+$218.66) | AmazonS3: +%12.3 (+$30.69)
2026-04-06,$342.06,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $27.89 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%49.9 (+$27.89) | AmazonEC2: +%43.2 (+$24.12) | AWSDataTransfer: +%5.5 (+$3.05) | AmazonRDS: +%1.4 (+$0.80)
2026-03-22,$267.61,Isolation Forest,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $23.77 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%95.1 (+$23.77) | AmazonDynamoDB: +%4.9 (+$1.22)
2026-03-21,$430.47,"STL, Isolation Forest",AmazonRDS,Yüksek,"İlişkisel Veritabanı (RDS) maliyetlerinde anomali (Normalin $169.59 üzerinde). Veritabanı boyutunun kontrolsüz büyümesi, gereksiz yedekleme dosyaları veya yüksek kapasiteli veritabanı sınıfına geçiş yapılmış olabilir.",AmazonRDS: +%87.8 (+$169.59) | AmazonS3: +%12.2 (+$23.66)
2026-03-20,$493.01,STL,AmazonRDS,Yüksek,"İlişkisel Veritabanı (RDS) maliyetlerinde anomali (Normalin $181.25 üzerinde). Veritabanı boyutunun kontrolsüz büyümesi, gereksiz yedekleme dosyaları veya yüksek kapasiteli veritabanı sınıfına geçiş yapılmış olabilir.",AmazonRDS: +%84.4 (+$181.25) | AmazonS3: +%11.2 (+$24.00) | AmazonEC2: +%4.2 (+$8.95) | AmazonDynamoDB: +%0.3 (+$0.58)
2026-03-19,$485.30,STL,AmazonRDS,Yüksek,"İlişkisel Veritabanı (RDS) maliyetlerinde anomali (Normalin $181.38 üzerinde). Veritabanı boyutunun kontrolsüz büyümesi, gereksiz yedekleme dosyaları veya yüksek kapasiteli veritabanı sınıfına geçiş yapılmış olabilir.",AmazonRDS: +%85.6 (+$181.38) | AmazonS3: +%10.3 (+$21.83) | AmazonEC2: +%4.1 (+$8.62)
2026-03-18,$483.84,STL,AmazonRDS,Yüksek,"İlişkisel Veritabanı (RDS) maliyetlerinde anomali (Normalin $184.48 üzerinde). Veritabanı boyutunun kontrolsüz büyümesi, gereksiz yedekleme dosyaları veya yüksek kapasiteli veritabanı sınıfına geçiş yapılmış olabilir.",AmazonRDS: +%87.8 (+$184.48) | AmazonS3: +%10.2 (+$21.34) | AmazonEC2: +%2.0 (+$4.15) | AmazonDynamoDB: +%0.1 (+$0.18)
2026-03-17,$479.55,"STL, Isolation Forest, Z-Score",AmazonRDS,Yüksek,"İlişkisel Veritabanı (RDS) maliyetlerinde anomali (Normalin $180.85 üzerinde). Veritabanı boyutunun kontrolsüz büyümesi, gereksiz yedekleme dosyaları veya yüksek kapasiteli veritabanı sınıfına geçiş yapılmış olabilir.",AmazonRDS: +%86.4 (+$180.85) | AmazonS3: +%9.9 (+$20.64) | AmazonEC2: +%3.8 (+$7.88) | AmazonDynamoDB: +%0.0 (+$0.00)
2026-03-06,$306.74,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $20.09 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%54.6 (+$20.09) | AmazonEC2: +%37.5 (+$13.78) | AmazonRDS: +%5.8 (+$2.14) | AmazonDynamoDB: +%2.0 (+$0.75)
2026-03-02,$293.10,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $19.33 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%77.4 (+$19.33) | AmazonRDS: +%15.0 (+$3.74) | AmazonEC2: +%7.7 (+$1.91)
2026-02-26,$308.07,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $18.18 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%50.5 (+$18.18) | AmazonEC2: +%21.0 (+$7.57) | AmazonRDS: +%15.5 (+$5.57) | AWSDataTransfer: +%12.9 (+$4.66)
2026-02-25,$309.93,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $19.91 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%50.8 (+$19.91) | AmazonEC2: +%38.7 (+$15.17) | AmazonRDS: +%10.5 (+$4.13)
2026-02-24,$291.48,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $18.98 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%73.4 (+$18.98) | AmazonRDS: +%26.6 (+$6.89)
2026-02-14,$233.31,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $17.14 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%100.0 (+$17.14)
2026-02-12,$303.95,STL,AmazonEC2,Düşük,EC2 (Sanal Sunucu) kullanımında olağan dışı harcama artışı (Normalin $16.10 üzerinde). Kapatılmamış staging/test sunucuları veya hatalı otomatik ölçeklendirme (Auto-scaling) tetiklenmiş olabilir.,AmazonEC2: +%43.1 (+$16.10) | AmazonS3: +%41.0 (+$15.31) | AmazonRDS: +%12.2 (+$4.55) | AmazonDynamoDB: +%3.8 (+$1.40)
2026-02-10,$737.52,"STL, Isolation Forest, Z-Score",AWSDataTransfer,Yüksek,"Ağ veri transfer (Data Transfer) ücretlerinde ani sıçrama (Normalin $457.76 üzerinde). Büyük veri tabanı dışa aktarımları, bölgeler arası kontrolsüz veri kopyalama veya sık tekrarlanan ağ trafiği tetiklenmiş.",AWSDataTransfer: +%96.4 (+$457.76) | AmazonS3: +%3.2 (+$14.99) | AmazonRDS: +%0.4 (+$2.02) | AmazonDynamoDB: +%0.1 (+$0.28)
2026-02-01,$240.95,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $13.84 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%66.6 (+$13.84) | AWSDataTransfer: +%33.4 (+$6.94)
2026-01-26,$277.62,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $12.59 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%73.6 (+$12.59) | AmazonRDS: +%26.4 (+$4.52)
2026-01-18,$238.64,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $9.38 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%54.1 (+$9.38) | AWSDataTransfer: +%41.5 (+$7.20) | AmazonDynamoDB: +%4.4 (+$0.76)
2026-01-11,$206.73,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $9.45 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%100.0 (+$9.45)
2026-01-10,$228.50,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $10.06 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%67.9 (+$10.06) | AWSDataTransfer: +%28.7 (+$4.25) | AmazonDynamoDB: +%3.4 (+$0.51)
2026-01-01,$256.99,STL,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $8.27 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%82.1 (+$8.27) | AmazonRDS: +%11.7 (+$1.18) | AWSDataTransfer: +%6.2 (+$0.63)
2025-12-30,$264.69,Isolation Forest,AmazonS3,Düşük,"S3 Depolama maliyetlerinde artış (Normalin $6.25 üzerinde). Büyük boyutlu dosya yüklemeleri, sürekli çalışan yedekleme döngüleri veya aşırı API okuma/yazma (PUT/GET) istekleri tespit edildi.",AmazonS3: +%71.1 (+$6.25) | AWSDataTransfer: +%19.3 (+$1.70) | AmazonRDS: +%9.6 (+$0.84)
2025-12-29,$615.29,"STL, Isolation Forest",AmazonEC2,Yüksek,EC2 (Sanal Sunucu) kullanımında olağan dışı harcama artışı (Normalin $345.92 üzerinde). Kapatılmamış staging/test sunucuları veya hatalı otomatik ölçeklendirme (Auto-scaling) tetiklenmiş olabilir.,AmazonEC2: +%96.8 (+$345.92) | AmazonS3: +%2.4 (+$8.74) | AmazonRDS: +%0.4 (+$1.31) | AWSDataTransfer: +%0.2 (+$0.75) | AmazonDynamoDB: +%0.1 (+$0.45)
2025-12-28,$563.67,STL,AmazonEC2,Yüksek,EC2 (Sanal Sunucu) kullanımında olağan dışı harcama artışı (Normalin $312.14 üzerinde). Kapatılmamış staging/test sunucuları veya hatalı otomatik ölçeklendirme (Auto-scaling) tetiklenmiş olabilir.,AmazonEC2: +%97.6 (+$312.14) | AmazonS3: +%2.2 (+$6.91) | AmazonDynamoDB: +%0.2 (+$0.77)
2025-12-27,$561.05,"STL, Isolation Forest, Z-Score",AmazonEC2,Yüksek,EC2 (Sanal Sunucu) kullanımında olağan dışı harcama artışı (Normalin $320.55 üzerinde). Kapatılmamış staging/test sunucuları veya hatalı otomatik ölçeklendirme (Auto-scaling) tetiklenmiş olabilir.,AmazonEC2: +%98.0 (+$320.55) | AmazonS3: +%1.6 (+$5.22) | AWSDataTransfer: +%0.4 (+$1.40)
2025-12-26,$276.21,STL,AmazonEC2,Düşük,EC2 (Sanal Sunucu) kullanımında olağan dışı harcama artışı (Normalin $21.64 üzerinde). Kapatılmamış staging/test sunucuları veya hatalı otomatik ölçeklendirme (Auto-scaling) tetiklenmiş olabilir.,AmazonEC2: +%54.4 (+$21.64) | AmazonRDS: +%19.5 (+$7.77) | AmazonS3: +%14.9 (+$5.93) | AWSDataTransfer: +%11.2 (+$4.47)
2025-12-13,$211.03,STL,AWSDataTransfer,Orta,"Ağ veri transfer (Data Transfer) ücretlerinde ani sıçrama (Normalin $5.22 üzerinde). Büyük veri tabanı dışa aktarımları, bölgeler arası kontrolsüz veri kopyalama veya sık tekrarlanan ağ trafiği tetiklenmiş.",AWSDataTransfer: +%64.5 (+$5.22) | AmazonS3: +%35.5 (+$2.88)
2025-12-04,$269.19,STL,AmazonEC2,Düşük,EC2 (Sanal Sunucu) kullanımında olağan dışı harcama artışı (Normalin $27.32 üzerinde). Kapatılmamış staging/test sunucuları veya hatalı otomatik ölçeklendirme (Auto-scaling) tetiklenmiş olabilir.,AmazonEC2: +%65.5 (+$27.32) | AWSDataTransfer: +%13.6 (+$5.69) | AmazonRDS: +%13.3 (+$5.54) | AmazonS3: +%5.0 (+$2.07) | AmazonDynamoDB: +%2.6 (+$1.10)
